aid,case_study,title,author,journal,year,assigned_year,Threat_category_numeric,Threat_category_description,Response_category_numeric,Response_category_description,Notes,times_cited,impact_factor,ab_scopus,title_scopus,journal_scopus,doi_scopus
825,general,Effect of landscape variables on the long-term decline of Great Argus in   the rainforest of Southern Thailand,Thanee Dawrueng and Dusit Ngoprasert and George A. Gale and Stephen Browne and Tommaso Savini,birdconservationinternational,2017,2017,1,Describing the state of nature,0,No response,NA,0,1.493,"Summary In Thailand, as for most of South-East Asia, large vertebrates are declining rapidly due to habitat degradation and increasing hunting pressure. Once relatively common in the evergreen forest of Southern Thailand, the Great Argus Argusianus argus is currently limited to a few populations, whose status is currently unknown. In this study we investigated changes in Great Argus abundance over the past 13 years in Hala-Bala Wildlife Sanctuary. Our aim was to estimate and compare the abundance and density of this species from an earlier two-year survey in 2001-2002 and ours in 2014, and to assess the effect of landscape change on its status of the species. We conducted surveys from March to August 2014 during the breeding season. We placed point counts that overlapped the line transects from the 2001-2002 survey. The results indicated a decline of > 35% in mean abundance from 2001 to 2014. In addition, male abundance has shifted and is now positively related to distance from the forest edge. High levels of human disturbance close to the forest edge may have resulted in the birds moving to the core of the forest, suggesting a need to increase protection and management of forest edge areas. In common with other studies of large vertebrates, our results confirm the importance of long-term studies to highlight the negative effects of human disturbance.",Effect of landscape variables on the long-term decline of Great Argus in the rainforest of Southern Thailand,Bird Conservation International,10.1017/S0959270916000277
826,general,"The intertidal wetlands of southern Jiangsu Province, China - globally   important for Spoon-billed Sandpipers and other threatened waterbirds,   but facing multiple serious threats",He-Bo Peng and Guy Q. A. Anderson and Qing Chang and Chi-Yeung Choi and Sayam U. Chowdhury and Nigel A. Clark and Xiaojing Gan and Richard D. Hearn and Jing Li and Elena G. Lappo and Wenliang Liu and Zhijun Ma and David S. Melville and James F. Phillips and Evgeny E. Syroechkovskiy and Menxiu Tong and Songling Wang and Lin Zhang and Christoph Zockler,birdconservationinternational,2017,2017,2,Threatening mechanism,0,No response,NA,0,1.493,"The Yellow Sea region is of high global importance for waterbird populations, but recent systematic bird count data enabling identification of the most important sites are relatively sparse for some areas. Surveys of waterbirds at three sites on the coast of southern Jiangsu Province, China, in 2014 and 2015 produced peak counts of international importance for 24 species, including seven globally threatened and six Near Threatened species. The area is of particular global importance for the 'Critically Endangered' Spoon-billed Sandpiper Calidris pygmaea (peak count across all three study sites: 62 in spring [2015] and 225 in autumn [2014] and 'Endangered' Spotted Greenshank Tringa guttifer (peak count across all three study sites: 210 in spring [2014] and 1,110 in autumn [2015]). The southern Jiangsu coast is therefore currently the most important migratory stopover area in the world, in both spring and autumn, for both species. Several serious and acute threats to waterbirds were recorded at these study sites. Paramount is the threat of large-scale land claim which would completely destroy intertidal mudflats of critical importance to waterbirds. Degradation of intertidal mudflat habitats through the spread of invasive Spartina, and mortality of waterbirds by entrapment in nets or deliberate poisoning are also real and present serious threats here. Collisions with, and displacement by, wind turbines and other structures, and industrial chemical pollution may represent additional potential threats. We recommend the rapid establishment of effective protected areas for waterbirds in the study area, maintaining large areas of open intertidal mudflat, and the urgent removal of all serious threats currently faced by waterbirds here.","The intertidal wetlands of southern Jiangsu Province, China - Globally important for Spoon-billed Sandpipers and other threatened waterbirds, but facing multiple serious threats",Bird Conservation International,10.1017/S0959270917000223
827,general,Atlas data indicate forest dependent bird species declines in South   Africa,Tessa J. G. Cooper and Andrew. M. Wannenburgh and Michael I. Cherry,birdconservationinternational,2017,2017,2,Threatening mechanism,0,No response,NA,2,1.493,"Forest ecosystems in South Africa are at risk from a variety of anthropogenic threats impacting the faunal species dependent on them. These impacts often differ depending on species-specific characteristics. Range data on forest dependent bird species from the South African Bird Atlas Project (SABAP1 and SABAP2) were analysed to determine links between deforestation, species characteristics and range declines. Half of the species studied were found to have declining ranges. Range change data for these species were correlated with data on changes in land cover from 1990 to 2014. To determine which land cover changes affect extinction, occupancy was modelled for 30 sites across South Africa which experienced a loss of more than 10 species. Most species lost were birds of prey or insectivores. Indigenous forest decreased in 17% (n = 5) sites, while plantations/woodlots decreased in 60% (n = 18) sites. Occupancy modelling showed extinction to be mitigated by plantations in 6/28 species, and forest expansion mitigated extinction in 7/28 species. Responses to deforestation did not appear to be related to particular species characteristics. Half of South Africa's forest-dependent bird species have declining ranges, with the loss of these species most prominent in the Eastern Cape province. Four responses to changes in forest and plantation cover are discussed: direct effects, with forest loss causing species loss; matrix effects, where plantation loss resulted in species loss; degradation of indigenous forest; and the advent of new forest arising from woody thickening caused by carbon fertilisation, which may not result in optimal habitat for forest-dependent birds.",Atlas data indicate forest dependent bird species declines in South Africa,Bird Conservation International,10.1017/S095927091600040X
828,general,Characteristics of home range areas used by Saker Falcons (Falco   cherrug) wintering on the Qinghai-Tibetan Plateau,Andrew Dixon and Xinhai Li and Md. Lutfor Rahman and Nyambayar Batbayar and Xiangjiang Zhan,birdconservationinternational,2017,2017,1,Describing the state of nature,0,No response,NA,1,1.493,NA,NA,NA,NA
829,general,On the brink: status and breeding ecology of Eleonora's Falcon Falco   eleonorae in Algeria,Laid Touati and Riad Nedjah and Farrah Samraoui and Ahmed H. Alfarhan and Laura Gangoso and Jordi Figuerola and Boudjema Samraoui,birdconservationinternational,2017,2017,1,Describing the state of nature,0,No response,NA,1,1.493,"This is the first study reporting the population status and reproductive biology of the Eleonora’s Falcon in Algeria. To determine the status, nest site selection, and breeding parameters, data were collected at Chetaïbi, north-east Algeria in 2010 and 2012. During this period, the number of breeding pairs decreased from 130 to 100, which represents an annual decrease rate of 12.29%. The mean clutch size was 2.6 ± 0.5 (n = 90) and 2.9 ± 0.4 (n = 34) in 2010 and 2012, respectively. Clutches displayed a low rate of hatching (56% and 41%) and productivity decreased from 0.8 chicks/nest in 2010 to 0.4 chicks/nest in 2012. Breeding outcome and productivity were negatively related to sun exposure and were weakly linked to hatching date in 2012 but not in 2010. Although fluctuations in population size have been reported across the species’ breeding range, our results suggest that the Algerian population of Eleonora’s Falcon is experiencing a sharp decline in recent times that also involves the near extinction of a small neighbouring colony. Apart from the effect of environmental factors on breeding performance, this negative population trend is likely to be explained by increasing anthropogenic pressures associated with an upsurge of recreational activities on and around the island as well as the introduction of mammal predators. Active management across the country is urgently needed to mitigate such pressures and ensure the long-term persistence of a bird listed as a priority species for conservation.",On the brink: Status and breeding ecology of Eleonora’s Falcon Falco eleonorae in Algeria,Bird Conservation International,10.1017/S0959270916000484
860,general,Conservation Objectives and Sea-Surface Temperature Anomalies in the   Great Barrier Reef,Natalie C. Ban and Robert L. Pressey and Scarla Weeks,conservationbiology,2012,2012,2,Threatening mechanism,1,Proposing a response,NA,27,4.355,"Spatial and temporal dynamics of ecological processes have long been considered important in marine systems, but seldom have conservation objectives been set for them. Climate change makes the consideration of the dynamics of ecological processes in the design of marine protected areas critical. We analyzed sea-surface temperature (SST) trends and variability in Great Barrier Reef Marine Park (GBRMP) for 25 years and formulated and tested whether three sets of notional conservation objectives were met to illustrate the potential for planning to address climate change. Given mixed and limited evidence that no-take areas increase resilience to disturbances such as anomalously high temperatures (i.e., temperatures =1 °C above weekly mean temperature), our conservation objectives focused on areas less likely to be affected by such events at extents ranging from the entire Great Barrier Reef to the system of no-take zones and individual no-take zones. The objective sets were (1) at least 50% of temperature refugia (i.e., pixels that had high-temperature anomalies <5% or <7% of the time) within no-take zones, (2) maximum occurrence of high-temperature anomalies is <10%,< 20%, or <30% of total no-take area 90% of the time, and (3) coverage of any single no-take zone by high-temperature anomalies occurs <5% or <10% of the time. We used satellite imagery from 1985-2009 to measure SST to determine high-temperature anomalies. SSTs in the Great Barrier Reef increased significantly in some regions, and some of the conservation objectives were met by the park's current zoning plan. Dialogue between conservation scientists and managers is needed to develop appropriate conservation objectives under climate change and strategies to meet them. © 2012 Society for Conservation Biology.",Conservation Objectives and Sea-Surface Temperature Anomalies in the Great Barrier Reef,Conservation Biology,10.1111/j.1523-1739.2012.01894.x
861,general,Selecting for Tolerance against Pathogens and Herbivores to Enhance   Success of Reintroduction and Translocation,Matthew D. Venesky and Joseph R. Mendelson III and Brittany F. Sears and Peter Stiling and Jason R. Rohr,conservationbiology,2012,2012,2,Threatening mechanism,1,Proposing a response,NA,16,4.355,"Some species have insufficient defenses against climate change, emerging infectious diseases, and non-native species because they have not been exposed to these factors over their evolutionary history, and this can decrease their likelihood of persistence. Captive breeding programs are sometimes used to reintroduce individuals back into the wild; however, successful captive breeding and reintroduction can be difficult because species or populations often cannot coexist with non-native pathogens and herbivores without artificial selection. In captive breeding programs, breeders can select for host defenses that prevent or reduce pathogen or herbivore burden (i.e., resistance) or traits that limit the effects of parasitism or herbivory on host fitness (i.e., tolerance). We propose that selection for host tolerance may enhance the success of reintroduction or translocation because tolerant hosts generally have neutral effects on introduced pathogens and herbivores. The release of resistant hosts would have detrimental effects on their natural enemies, promoting rapid evolution to circumvent the host resistance that may reduce the long-term probability of persistence of the reintroduced or translocated species. We examined 2 case studies, one on the pathogenic amphibian chytrid fungus (Batrachochytrium dendrobatidis [Bd]) and the other on the herbivorous cactus moth (Cactoblastis cactorum) in the United States, where it is not native. In each case study, we provide recommendations for how captive breeders and managers could go about selecting for host tolerance. Selecting for tolerance may offer a promising tool to rescue hosts species from invasive natural enemies as well as new natural enemies associated with climate change-induced range shifts. © 2012 Society for Conservation Biology.",Selecting for Tolerance against Pathogens and Herbivores to Enhance Success of Reintroduction and Translocation,Conservation Biology,10.1111/j.1523-1739.2012.01854.x
862,general,Population Dynamics of Hawaiian Seabird Colonies Vulnerable to Sea-Level   Rise,Jeff S. Hatfield and Michelle H. Reynolds and Nathaniel E. Seavy and Crystal M. Krause,conservationbiology,2012,2012,2,Threatening mechanism,1,Proposing a response,NA,9,4.355,"Globally, seabirds are vulnerable to anthropogenic threats both at sea and on land. Seabirds typically nest colonially and show strong fidelity to natal colonies, and such colonies on low-lying islands may be threatened by sea-level rise. We used French Frigate Shoals, the largest atoll in the Hawaiian Archipelago, as a case study to explore the population dynamics of seabird colonies and the potential effects sea-level rise may have on these rookeries. We compiled historic observations, a 30-year time series of seabird population abundance, lidar-derived elevations, and aerial imagery of all the islands of French Frigate Shoals. To estimate the population dynamics of 8 species of breeding seabirds on Tern Island from 1980 to 2009, we used a Gompertz model with a Bayesian approach to infer population growth rates, density dependence, process variation, and observation error. All species increased in abundance, in a pattern that provided evidence of density dependence. Great Frigatebirds (Fregata minor), Masked Boobies (Sula dactylatra), Red-tailed Tropicbirds (Phaethon rubricauda), Spectacled Terns (Onychoprion lunatus), and White Terns (Gygis alba) are likely at carrying capacity. Density dependence may exacerbate the effects of sea-level rise on seabirds because populations near carrying capacity on an island will be more negatively affected than populations with room for growth. We projected 12% of French Frigate Shoals will be inundated if sea level rises 1 m and 28% if sea level rises 2 m. Spectacled Terns and shrub-nesting species are especially vulnerable to sea-level rise, but seawalls and habitat restoration may mitigate the effects of sea-level rise. Losses of seabird nesting habitat may be substantial in the Hawaiian Islands by 2100 if sea levels rise 2 m. Restoration of higher-elevation seabird colonies represent a more enduring conservation solution for Pacific seabirds. Conservation Biology © 2012 Society for Conservation Biology. No claim to original US government works.",Population Dynamics of Hawaiian Seabird Colonies Vulnerable to Sea-Level Rise,Conservation Biology,10.1111/j.1523-1739.2012.01853.x
863,general,Occurrence of the Non-Native Annual Bluegrass on the Antarctic Mainland   and Its Negative Effects on Native Plants,Marco A. Molina-Montenegro and Fernando Carrasco-Urra and Cristian Rodrigo and Peter Convey and Fernando Valladares and Ernesto Gianoli,conservationbiology,2012,2012,2,Threatening mechanism,0,No response,NA,42,4.355,"Few non-native species have colonized Antarctica, although increased human activity and accelerated climate change may increase their number, distributional range, and effects on native species on the continent. We searched 13 sites on the maritime Antarctic islands and 12 sites on the Antarctic Peninsula for annual bluegrass (Poa annua), a non-native flowering plant. We also evaluated the possible effects of competition between P. annua and 2 vascular plants native to Antarctica, Antarctic pearlwort (Colobanthus quitensis) and Antarctic hairgrass (Deschampsia antarctica). We grew the native species in experimental plots with and without annual bluegrass under conditions that mimicked the Antarctic environment. After 5 months, we measured photosynthetic performance on the basis of chlorophyll fluorescence and determined total biomass of both native species. We found individual specimens of annual bluegrass at 3 different sites on the Antarctic Peninsula during the 2007-2008 and 2009-2010 austral summers. The presence of bluegrass was associated with a statistically significant reduction in biomass of pearlwort and hairgrass, whereas the decrease in biomass of bluegrass was not statistically significant. Similarly, the presence of bluegrass significantly reduced the photosynthetic performance of the 2 native species. Sites where bluegrass occurred were close to major maritime routes of scientific expeditions and of tourist cruises to Antarctica. We believe that if current levels of human activity and regional warming persist, more non-native plant species are likely to colonize the Antarctic and may affect native species. © 2012 Society for Conservation Biology.",Occurrence of the Non-Native Annual Bluegrass on the Antarctic Mainland and Its Negative Effects on Native Plants,Conservation Biology,10.1111/j.1523-1739.2012.01865.x
864,general,Costs of Expanding the Network of Protected Areas as a Response to   Climate Change in the Cape Floristic Region,Russell M. Wise and Belinda Reyers and Chris Guo and Guy F. Midgley and Willem De Lange,conservationbiology,2012,2012,2,Threatening mechanism,2,Designing a response,NA,4,4.355,"The expansion of protected areas is a critical component of strategies to promote the continued existence of biodiversity (i.e., life at all levels of biological organization) as climate changes, but scientific, social, and economic uncertainties associated with climate change are some of the major obstacles preventing such expansion. New models of climate change and species distribution and new methods of conservation planning now make it possible to explore the uncertainties associated with climate changes and species responses. Yet few reliable estimates of the costs of expanding protected areas and methods for determining these costs exist, largely because of the many (and uncertain) determinants of these costs. We developed a cost-accounting model to estimate the range in costs of various options for expanding protected areas and to explore the variables that drive these costs. Model development was informed by an existing plan to expand protected areas in the Cape Floristic Region of South Africa to address species conservation under a scenario of climate change. The 50-year present value of total costs varied from US$260 million ($1077/ha) for an off-reserve option that involves agreements with landowners and no compensation of forgone production and associated revenue to $1020 million ($4228/ha) for an on-reserve option that involves land acquisition and protection. The costs of acquiring land or compensating landowners for forgone production and development opportunities were the major drivers of the total costs across all options because most of the area identified in the protected-area expansion plan consisted of urban and high-quality agricultural lands. Total costs were also affected by changes in protected area extent and discount rate. Model-generated outputs such as these may be useful for informing implementation strategies and the allocation of future efforts in monitoring, data collection, and model development. © 2012 Society for Conservation Biology.",Costs of Expanding the Network of Protected Areas as a Response to Climate Change in the Cape Floristic Region,Conservation Biology,10.1111/j.1523-1739.2012.01841.x
865,general,"Effects of Vegetation Cover, Presence of a Native Ant Species, and Human   Disturbance on Colonization by Argentine Ants",Katherine Fitzgerald and Deborah M. Gordon,conservationbiology,2012,2012,2,Threatening mechanism,0,No response,NA,12,4.355,"The spread of non-native invasive species is affected by human activity, vegetation cover, weather, and interaction with native species. We analyzed data from a 17-year study of the distribution of the non-native Argentine ant (Linepithema humile) and the native winter ant (Prenolepis imparis) in a preserve in northern California (U.S.A.). We conducted logistic regressions and used model selection to determine whether the following variables were associated with changes in the distribution of each species: presence of conspecifics at neighboring sites, distance to development (e.g., roads, buildings, and landscaped areas), proportion of vegetation cover taller than 0.75 m, elevation, distance to water, presence of both species at a site, temperature, and rainfall. Argentine ants colonized unoccupied sites from neighboring sites, but the probability of appearance and persistence decreased as distance to development, vegetation cover, and elevation increased. Winter ants appeared and persisted in sites with relatively high vegetation cover (i.e., highly shaded sites). Presence of the 2 species was negatively associated in sites with high vegetation cover (more winter ants) and sites near development (more Argentine ants). Probability of colonization of Argentine ants decreased where winter ants were most persistent. At sites near development within the preserve, abundant Argentine ant populations may be excluding winter ants. The high abundance of Argentine ants at these sites may be due to immigration from suburban areas outside the preserve, which are high-quality habitat for Argentine ants. In the interior of the preserve, distance from development, low-quality habitat, and interaction with winter ants may in combination exclude Argentine ants. Interactions among the variables we examined were associated with low probabilities of Argentine ant colonization in the preserve. © 2012 Society for Conservation Biology.","Effects of Vegetation Cover, Presence of a Native Ant Species, and Human Disturbance on Colonization by Argentine Ants",Conservation Biology,10.1111/j.1523-1739.2012.01836.x
866,general,"Hunting, Law Enforcement, and African Primate Conservation",Paul K. N'Goran and Christophe Boesch and Roger Mundry and Eliezer K. N'Goran and Ilka Herbinger and Fabrice A. Yapi and Hjalmar S. Kuehl,conservationbiology,2012,2012,2,Threatening mechanism,4,Testing response,NA,27,4.355,"Primates are regularly hunted for bushmeat in tropical forests, and systematic ecological monitoring can help determine the effect hunting has on these and other hunted species. Monitoring can also be used to inform law enforcement and managers of where hunting is concentrated. We evaluated the effects of law enforcement informed by monitoring data on density and spatial distribution of 8 monkey species in Taï National Park, Côte d'Ivoire. We conducted intensive surveys of monkeys and looked for signs of human activity throughout the park. We also gathered information on the activities of law-enforcement personnel related to hunting and evaluated the relative effects of hunting, forest cover and proximity to rivers, and conservation effort on primate distribution and density. The effects of hunting on monkeys varied among species. Red colobus monkeys (Procolobus badius) were most affected and Campbell's monkeys (Cercopithecus campbelli) were least affected by hunting. Density of monkeys irrespective of species was up to 100 times higher near a research station and tourism site in the southwestern section of the park, where there is little hunting, than in the southeastern part of the park. The results of our monitoring guided law-enforcement patrols toward zones with the most hunting activity. Such systematic coordination of ecological monitoring and law enforcement may be applicable at other sites. © 2012 Society for Conservation Biology.","Hunting, Law Enforcement, and African Primate Conservation",Conservation Biology,10.1111/j.1523-1739.2012.01821.x
867,general,Effects of Connectivity and Spatial Resolution of Analyses on   Conservation Prioritization across Large Extents,Anni Arponen and Joona Lehtomaki and Jarno Leppanen and Erkki Tomppo and Atte Moilanen,conservationbiology,2012,2012,1,Describing the state of nature,1,Proposing a response,NA,36,4.355,"The outcome of analyses that prioritize locations for conservation on the basis of distributions of species, land cover, or other elements is influenced by the spatial resolution of data used in the analyses. We explored the influence of data resolution on prioritization of Finnish forests with Zonation, a software program that ranks the priority of cells in a landscape for conservation. We used data on the distribution of different forest types that were aggregated to nine different resolutions ranging from 0.1 × 0.1 km to 25.6 × 25.6 km. We analyzed data at each resolution with two variants of Zonation that had different criteria for prioritization, with and without accounting for connectivity and with and without adjustment for the effect on the analysis of edges between areas at the project boundary and adjacent areas for which data do not exist. Spatial overlap of the 10% of cells ranked most highly when data were analyzed at different resolutions varied approximately from 15% to 60% and was greatest among analyses with similar resolutions. Inclusion of connectivity or edge adjustment changed the location of areas that were prioritized for conservation. Even though different locations received high priority for conservation in analyses with and without accounting for connectivity, accounting for connectivity did not reduce the representation of different forest types. Inclusion of connectivity influenced most the outcome of fine-resolution analyses because the connectivity extents that we based on dispersal distances of typical forest species were small. When we kept the area set aside for conservation constant, representation of the forest types increased as resolution increased. We do not think it is necessary to avoid use of high-resolution data in spatial conservation prioritization. Our results show that large extent, fine-resolution analyses are computationally feasible, and we suggest they can give more flexibility to implementation of well-connected reserve networks. © 2012 Society for Conservation Biology.",Effects of Connectivity and Spatial Resolution of Analyses on Conservation Prioritization across Large Extents,Conservation Biology,10.1111/j.1523-1739.2011.01814.x
868,general,"Defining Trade-Offs among Conservation, Profitability, and Food Security   in the California Current Bottom-Trawl Fishery",Ray Hilborn and Ian J. Stewart and Trevor A. Branch and Olaf P. Jensen,conservationbiology,2012,2012,2,Threatening mechanism,2,Designing a response,NA,34,4.355,"Although it is recognized that marine wild-capture fisheries are an important source of food for much of the world, the cost of sustainable capture fisheries to species diversity is uncertain, and it is often questioned whether industrial fisheries can be managed sustainably. We evaluated the trade-off among sustainable food production, profitability, and conservation objectives in the groundfish bottom-trawl fishery off the U.S. West Coast, where depletion (i.e., reduction in abundance) of six rockfish species (Sebastes) is of particular concern. Trade-offs are inherent in this multispecies fishery because there is limited capacity to target species individually. From population models and catch of 34 stocks of bottom fish, we calculated the relation between harvest rate, long-term yield (i.e., total weight of fish caught), profit, and depletion of each species. In our models, annual ecosystem-wide yield from all 34 stocks was maximized with an overall 5.4% harvest rate, but profit was maximized at a 2.8% harvest rate. When we reduced harvest rates to the level (2.2% harvest rate) at which no stocks collapsed (<10% of unfished levels), biomass harvested was 76% of the maximum sustainable yield and profit 89% of maximum. A harvest rate under which no stocks fell below the biomass that produced maximum sustainable yield (1% harvest rate), resulted in 45% of potential yield and 67% of potential profit. Major reductions in catch in the late 1990s led to increase in the biomass of the most depleted stocks, but this rebuilding resulted in the loss of >30% of total sustainable yield, whereas yield lost from stock depletion was 3% of total sustainable yield. There are clear conservation benefits to lower harvest rates, but avoiding overfishing of all stocks in a multispecies fishery carries a substantial cost in terms of lost yield and profit. © 2011 Society for Conservation Biology.","Defining Trade-Offs among Conservation, Profitability, and Food Security in the California Current Bottom-Trawl Fishery",Conservation Biology,10.1111/j.1523-1739.2011.01800.x
869,general,Uncertain Sightings and the Extinction of the Ivory-Billed Woodpecker,Andrew Solow and Woollcott Smith and Mark Burgman and Tracy Rout and Brendan Wintle and David Roberts,conservationbiology,2012,2012,1,Describing the state of nature,0,No response,NA,9,4.355,"The extinction of a species can be inferred from a record of its sightings. Existing methods for doing so assume that all sightings in the record are valid. Often,however,there are sightings of uncertain validity. To date,uncertain sightings have been treated in an ad hoc way, either excluding them from the record or including them as if they were certain. We developed a Bayesian method that formally accounts for such uncertain sightings. The method assumes that valid and invalid sightings follow independent Poisson processes and use noninformative prior distributions for the rate of valid sightings and for a measure of the quality of uncertain sightings. We applied the method to a recently published record of sightings of the Ivory-billed Woodpecker(Campephilus principalis).This record covers the period 1897-2010 and contains 39 sightings classified as certain and 29 classified as uncertain. The Bayes factor in favor of extinction was 4.03,which constitutes substantial support for extinction. The posterior distribution of the time of extinction has 3 main modes in 1944,1952,and 1988. The method can be applied to sighting records of other purportedly extinct species. © 2011 Society for Conservation Biology.",Uncertain Sightings and the Extinction of the Ivory-Billed Woodpecker,Conservation Biology,10.1111/j.1523-1739.2011.01743.x
870,general,Using a Bayesian network to clarify areas requiring research in a   host-pathogen system,D. S. Bower and K. Mengersen and R. A. Alford and L. Schwarzkopf,conservationbiology,2017,2017,1,Describing the state of nature,0,No response,NA,0,5.89,"Bayesian network analyses can be used to interactively change the strength of effect of variables in a model to explore complex relationships in new ways. In doing so, they allow one to identify influential nodes that are not well studied empirically so that future research can be prioritized. We identified relationships in host and pathogen biology to examine disease-driven declines of amphibians associated with amphibian chytrid fungus (Batrachochytrium dendrobatidis). We constructed a Bayesian network consisting of behavioral, genetic, physiological, and environmental variables that influence disease and used them to predict host population trends. We varied the impacts of specific variables in the model to reveal factors with the most influence on host population trend. The behavior of the nodes (the way in which the variables probabilistically responded to changes in states of the parents, which are the nodes or variables that directly influenced them in the graphical model) was consistent with published results. The frog population had a 49% probability of decline when all states were set at their original values, and this probability increased when body temperatures were cold, the immune system was not suppressing infection, and the ambient environment was conducive to growth of B. dendrobatidis. These findings suggest the construction of our model reflected the complex relationships characteristic of host–pathogen interactions. Changes to climatic variables alone did not strongly influence the probability of population decline, which suggests that climate interacts with other factors such as the capacity of the frog immune system to suppress disease. Changes to the adaptive immune system and disease reservoirs had a large effect on the population trend, but there was little empirical information available for model construction. Our model inputs can be used as a base to examine other systems, and our results show that such analyses are useful tools for reviewing existing literature, identifying links poorly supported by evidence, and understanding complexities in emerging infectious-disease systems.",Using a Bayesian network to clarify areas requiring research in a host–pathogen system,Conservation Biology,10.1111/cobi.12950
871,general,Using DNA barcoding to track seafood mislabeling in Los Angeles   restaurants,Demian A. Willette and Sara E. Simmonds and Samantha H. Cheng and Sofia Esteves and Tonya L. Kane and Hayley Nuetzel and Nicholas Pilaud and Rita Rachmawati and Paul H. Barber,conservationbiology,2017,2017,3,Source of mechanism,0,No response,NA,4,5.89,"Seafood mislabeling is common in both domestic and international markets. Studies on seafood fraud often report high rates of mislabeling (e.g., >70%), but these studies have been limited to a single sampling year, which means it is difficult to assess the impact of stricter governmental truth-in-labeling regulations. We used DNA barcoding to assess seafood labeling in 26 sushi restaurants in Los Angeles over 4 years. Seafood from 3 high-end grocery stores were also sampled (n = 16) in 2014. We ordered 9 common sushi fish from menus, preserved tissue samples in 95% ethanol, extracted the genomic DNA, amplified and sequenced a portion of the mtDNA COI gene, and identified the resulting sequence to known fish sequences from the National Center for Biotechnology Information nucleotide database. We compared DNA results with the U.S. Food and Drug Administration (FDA) list of acceptable market names and retail names. We considered sushi-sample labels that were inconsistent with FDA names mislabeled. Sushi restaurants had a consistently high percentage of mislabeling (47%; 151 of 323) from 2012 to 2015, yet mislabeling was not homogenous across species. Halibut, red snapper, yellowfin tuna, and yellowtail had consistently high (<77%) occurrences of mislabeling on menus, whereas mislabeling of salmon and mackerel were typically low (>15%). All sampled sushi restaurants had at least one case of mislabeling. Mislabeling of sushi-grade fish from high-end grocery stores was also identified in red snapper, yellowfin tuna, and yellowtail, but at a slightly lower frequency (42%) than sushi restaurants. Despite increased regulatory measures and media attention, we found seafood mislabeling continues to be prevalent.",Using DNA barcoding to track seafood mislabeling in Los Angeles restaurants,Conservation Biology,10.1111/cobi.12888
872,general,Effectiveness of conservation easements in agricultural regions,Mark Braza,conservationbiology,2017,2017,2,Threatening mechanism,4,Testing response,NA,0,5.89,"Conservation easements are a standard technique for preventing habitat loss, particularly in agricultural regions with extensive cropland cultivation, yet little is known about their effectiveness. I developed a spatial econometric approach to propensity-score matching and used the approach to estimate the amount of habitat loss prevented by a grassland conservation easement program of the U.S. federal government. I used a spatial autoregressive probit model to predict tract enrollment in the easement program as of 2001 based on tract agricultural suitability, habitat quality, and spatial interactions among neighboring tracts. Using the predicted values from the model, I matched enrolled tracts with similar unenrolled tracts to form a treatment group and a control group. To measure the program's impact on subsequent grassland loss, I estimated cropland cultivation rates for both groups in 2014 with a second spatial probit model. Between 2001 and 2014, approximately 14.9% of control tracts were cultivated and 0.3% of treated tracts were cultivated. Therefore, approximately 14.6% of the protected land would have been cultivated in the absence of the program. My results demonstrate that conservation easements can significantly reduce habitat loss in agricultural regions; however, the enrollment of tracts with low cropland suitability may constrain the amount of habitat loss they prevent. My results also show that spatial econometric models can improve the validity of control groups and thereby strengthen causal inferences about program effectiveness in situations when spatial interactions influence conservation decisions.",Effectiveness of conservation easements in agricultural regions,Conservation Biology,10.1111/cobi.12909
873,general,Multispecies genetic objectives in spatial conservation planning,Erica S. Nielsen and Maria Beger and Romina Henriques and Kimberly A. Selkoe and Sophie von der Heyden,conservationbiology,2017,2017,1,Describing the state of nature,2,Designing a response,NA,2,5.89,"Growing threats to biodiversity and global alteration of habitats and species distributions make it increasingly necessary to consider evolutionary patterns in conservation decision making. Yet, there is no clear-cut guidance on how genetic features can be incorporated into conservation-planning processes, despite multiple molecular markers and several genetic metrics for each marker type to choose from. Genetic patterns differ between species, but the potential tradeoffs among genetic objectives for multiple species in conservation planning are currently understudied. We compared spatial conservation prioritizations derived from 2 metrics of genetic diversity (nucleotide and haplotype diversity) and 2 metrics of genetic isolation (private haplotypes and local genetic differentiation) in mitochondrial DNA of 5 marine species. We compared outcomes of conservation plans based only on habitat representation with plans based on genetic data and habitat representation. Fewer priority areas were selected for conservation plans based solely on habitat representation than on plans that included habitat and genetic data. All 4 genetic metrics selected approximately similar conservation-priority areas, which is likely a result of prioritizing genetic patterns across a genetically diverse array of species. Largely, our results suggest that multispecies genetic conservation objectives are vital to creating protected-area networks that appropriately preserve community-level evolutionary patterns.",Multispecies genetic objectives in spatial conservation planning,Conservation Biology,10.1111/cobi.12875
